text,label
"Precis som flera andra skriver så har jag också råkat ut för förseningsavgifter. Jag betalade fakturan och i samma veva kom det en påminnelseavgift på 60 kronor. De flesta företag skriver ""om du nyligen betalat bortse från fakturan"" så tänkte jag inte mer på det. Sen kommer det ytterligare avgift och dessutom har de skapat ett kundkonto med ränta, är det ens lagligt?När jag påtalar det orimliga så får jag bara svar på att ""vi skickar förseningsavgift automatiskt"" och villkoren för kundkontot, som jag inte ens tecknat.  Så förutom produkten jag köpte har jag nu betalat dem i 99 kronors avgifter! troligen för en försening på ngn dag!Stor varning för denna butik.",0
"Fungerar utmärkt, jag är väldigt nöjd mer Aros",1
Jag gillar Mode Cold Brew Coffee det har en god smak och går snabbt att tillreda. Dessutom får jag energi av kaffet.,1
Grym på både tatueringar och piercings! Och man blir väldigt vänligt bemött. Bäst i stan helt enkelt!,1
Snabb leverans o bra service,1
"Snabb leverans, säker och smidig betalning. Jag är mycket nöjd och kommer säkert att beställa mer från Silverbiten.se",1
Beställde 14/12 julaftonsbukett till mamma och pappa med notering om att blommorna skulle levereras så nära julafton som möjligt. Fick beställningsbekräftelse men ingen mer info om leverans. Mailat flera ggr men endast fått autosvar ”ditt mail vidarebefordrat till utförande butik”. Så idag första vardagen efter jul (28/12) får jag plötsligt en Swish på det beloppet jag betalat. Jag kollade genast mailen och där fanns ett mail ”Detta är en bekräftelse på att vi makulerat din order”.... What????? Varför? Och varför får jag då en bekräftelse på att allt verkar ok? Kunde jag fått info om detta från början så jag kunnat välja en seriös butik och mina ensamma föräldrar fått sina blommor till jul kanske? Aldrig mer detta företag!,0
"Snabb frakt, bra kundsupport och trevlig personal!",1
"Jag rekommenderar ingen att handla från TM.Min sambo var där och blev övertalad att köpa ett par dyrare hörlurar än tänkt, då de skulle hålla högre kvalité.De gick sönder inom tre veckor och hon gick då tillbaka varpå hon fick ett par nya.De nya gick även de sönder inom tre veckor, vi gick då tillbaka till butiken och de vägrade ersätta henne med en återbetalning utan endast tillgodokvitto hos TM.Jag skickar då ett mail och frågar om detta verkligen kan stämma.Får inget svar på fem dagar, skickar ett mail att jag saknar återkoppling.Får då svar att mitt mail fastnat i spam och att de ska återkoppla asap.Ringer åter efter fem dagar och de lovar att svara mig inom tre dagar.Det har nu gått ytterligare fjorton dagar och ingen återkoppling.",0
Otroligt mycket fönster för pengarna!,1
Vanlig Mam nappar med namn på 👌,1
Är mycket nöjd. Fick snabbt svar och ersättning jag var nöjd med.,1
"Det är hemsk att få faktura efter 3 år från företag som utnyttjar faktum att man är omedvetet om deras egzystensOch få betalning påminnelse på 2535 kr ,i början trodde att det va nån skämt, nu se jag att jag är inte ensam därför ber jag att Ni som va drabbad kontaktat mig och vi tillsammans anmäler företag , annars fler människor i flera år fram kommer de på samma sätt lura andra människor , Jag ha fb kontooch mitt namn är Marianna Karlström gemensam kommer vi besegra de. Och gör slut på bedrägeri i lagens namn",0
Kanonbra halsband till mina hundar! Supersnabb leverans!,1
Jag har inte bett om att få låna pengar av er var vänligen och stryk mitt namn mobilnr får jag höra mer av er ska jag polisanmäla er för trakasseri,0
Kan inte ens kolla på tv pga för segt internet.  Sämsta jag haft,0
väldigt nöjd!,1
De skickar ut rabattkoder som inte gäller!Sen vill de inte ta ansvar för utskicken när jag skriver till dem. Urdåligt!!!,0
"Väldigt tokigt att man kan välja datum, fylla i alla sin uppgifter för att ett dygn senare få bekräftat att det inte finns plats ... Nu har jag gjort det 3 ggr!! Det vore väl bättre att lägga ut datum och skriva hur många biljetter det finns kvar på det datumet (precis som på flygbiljetter).Igår ringde jag er för att få hjälp och er sida hade just blivit uppdaterad och jag fick höra att det skulle finnas två biljetter som jag behövde, ändå, fick jag idag svar att det inte fanns!",0
Leverans i 2 delar utan info ställde till problem o extrajobb,0
"Med ett ord helt enkelt excellent. Samma pålitliga service varje gång, detta var inte första gången. Stort tack för er service i dessa Coronatider!",1
fel på mått på manschetter vilket innebar onödigt krångel.,0
Bra snabbt och rätt grejor.,1
Lång leveranstid.Har inte fått någon vara än.,0
Jag är nöjd med de böcker jag har fått inga problem. Rune!!,1
"Jag är väldigt nöjd. Beställde söndag em, fick hem den måndag em. Varan var precis vad jag hade förväntat mig, efter vad dom utgav den för att vara.Glasskyddet satt som det skulle, och telefonen fungerar som den ska. Bra priser. Jag är helt nöjd. :)",1
Leveransen kom som den skulle. Lätt att beställa.,1
VARNING! Var så mycket jobb att få ut sin ersättning som flygförseningar.se redan fått av flygbolaget att det hade varit mycket snabbare och enklare att kräva pengarna direkt hos flygbolaget. Så slipper man betala 25% av ersättningen. Ska aldrig anlita flygförseningar.se igen!,0
"Väldigt snabb leverans . Mycket god service . Varan, en stickväska var perfekt. Motsvarade förväntningarna med råge.",1
Snabb leverans och human prissättning. Jag har inget att klaga på.,1
"Beställde flera olika produkter,förväntade mig att det skulle ta en vecka att få varorna men levererades redan efter 2 dagar!Snabb orderbekräftelse och enkelt att betala med faktura.Produkterna motsvarade förväntningarna och beskrivningarna.Enda negativa är att det inte är fraktfritt under 500-.",1
Fågelbur av svagt material. Jag rekommenderar inte,0
"Fin produkt, lågt pris samt snabb och smidig leverans.",1
Beställde två powebands utan att läsa här innan. Och precis som alla andra skriver så har jag fortfarande inte ( en månad efter beställning) fått varan. Har både ringt och mailat men får ingen kontakt. Pengarna ligger reserverade hos klarna. Har varit i kontakt med Klarna och de kommer att släppa reservationen och pengarna går tillbaks till mig. Säger som alla andra. BLUFF! Beställ INTE härifrån!!!!,0
"Inte bra, andra gången skärmen byttes för att den glappat mot ramen. Inte heller denna gång kunde felet tas bort. Redan efter 3 dagar kom det tillbaka och värre än innan. Glappet kom runt helt telefonen, vilket resulterade i att jag fick söka upp en annan firma under semestern. Tacksam om någon kunde återkomma till mig angående detta.Johan Malm",0
Jag är nöjd🤗 Och jag längtar tills min mössa kommer🤗🌸,1
"Toppen bra, alltid nöjd när jag använt Outnorth, frakten kunde varit lite snabbare.",1
Köpte en jacka 5 dagar senare stog de att den va slut i lager och jag fick den aldrig däremot fick jag tbx pengarna men under vintern har man inte lust att vänta 5 dagar med hopp om en ny snygg jacka och frysa pungen av sig när man lika väl kunde beställt nån annanstans,0
"Hjälpte mig med att byta från kabel till fiber och installera ny dator. Förklarade bra skillnader mellan Windows 7 och Windows 10. Mycket kunnig med trevligt bemötande. Inga frågor från en datorokunnig är dumma frågor utan man får lugna, begripliga svar. Väldigt mycket värt för en pensionär!",1
Snabb leverans och bilderna på hemsidan var så bra att det lätt gick att beställa rätt prismor. Jättenöjd!,1
"Absolut inte tvärt pengarna tyvärr. Visserligen är det tryckt på lite tjockare papper, men krasst sett så har jag själv olika filter att använda på bilderna och att lägga en passpartou med text på gör man i en handvändning i både bildredigeringsappar eller bildredigeringsprogram. Jag hade förväntat mig betydligt bättre känsla vad gäller tryck och papperskvalitet. Hade priset varit hälften hade det varit värt det, men kommer nog aldrig mer använda mig av Wallpoet. Möjligtvis för att göra deras superhjälteposter, som jag ändå ser ett syfte med då den mallen inte är lika lätt att göra själv.",0
Snabb leverans hit upp till norr trots corona🤩,1
Mycket bra arrangerat och bra guide,1
Lättanvänd auktionssajt.,1
Bra pris o smidig leverans!,1
"Är mycket nöjd, med såväl smyckena som servicen. Rekommenderar varmt denna underbara sida, med vackra smycken. Jag har handlat hos Siverbiten ett par gånger och planerar redan mitt nästa köp. Toppen!",1
"Mycket sympatisk, lugn, kunnig, behaglig att prata med, och stort tålamod. Tog sig tid att förklara. På grund av sjukdom följde jag inte upp den överenskommelse vi kommit överens om, jag skulle ha meddelat när mina pengar fanns i ""min hand"". Jag är ledsen för det",1
"Upptäckte detta företag, känns bra  att kunna köpa originalprodukter till IPhone och Mac nu när fysiska Mac-butiken försvinner från stan. Trevlig  och hjälpsam personal vid chatt. Köpte liknande produkt.",1
Dålig bank och mycket svårt att få lån trots att man varit kund länge och har bra kreditvärdighet.,0
"Fick meddelande för några dagar sedan om att fysiska presentkort till IKEA tillfälligt var slut.Har förgäves försökt få tag på kundtjänst via mail och telefon, för att ändra till presentkort via E-post.Tyvärr har jag troligtvis blivit blåst på 3000 spänn och missat tre julklappar.Aldrig mera gogift!Jag önskar er på gogift en riktigt usel jul.",0
Personaler var trevliga. Men deras service utgår inte från kunder.  De säger allt gott för att du ska betala för den första behandling sen de sk*t i. De bryr inte om kunder är nöjd med behandlingar eller om du fick den resultat som önskar. Personaler sk*t i kunder! Ska aldrig tillbaka igen.,0
"Snabb leverans, kanonpris.",1
Idag åtta veckor sen jag beställde min kostym. Ej hört eller än mindre fått leverans. Hemsidan utlovar leverans efter 2-4 veckor. Ingen kontakt med kundtjänst fastän två mejl från mig. Således kommer jag få gå i jeans på bröllop samt torskat 10.000 kr. Helt j***a otroligt.Bra dock att det finns en fysisk butik att gå till för då kan man alltid prata allvar med en fysisk person...,0
Alldeles för lång leveranstid! De kan åtminstone vara transparenta och skriva det på hemsidan istället för att säga 1-3 dagar när det uppenbarligen aldrig efterlevs.,0
Snabb leverans 👍👍,1
"Mycket enkelt, bara ansök och sedan bara att välja och vraka bland långivare :)",1
Lätt att boka men urusel tyvärr support facebookteamet är grymma direkt svar supporten 4-5 dagar men nu är allt fixat. Men hoppas lite fortare service nästa gång,0
"Usch, fyfan. Köpte en kycklingvingar som var rå. Spydde direkt efter",0
"Trots att jag inte hann avsluta ordren, då jag ångrade mig i sista minuten kom varorna. Mycket märkligt!",0
"Varan enligt beskrivning, snabb leverans. Lätt att spåra leveransen. 100% nöjd",1
"Byxor som jag köpte av dom, motsvarar inte beskrivningen, byxorna är för långa än det skulle blir, och nu måste jag returnera byxorna tillbaka till dom och betala retur kostnad på 49kr. Man kan inte få tydligt information av kundservice, för att dem kan ingenting, när jag skulle ändra min beställning sade kundsupport att jag måste återkomma om några timmar då kan han ändra i beställningen, men när jag återkom då verkade att han kan inte hjälpa mig, och jag måste göra en beställning till.Andra gången, kundtjänst skulle hjälpa med att beställa en produkt och jag vald att betala med kort, men hon skickade den produkt med faktura.Det är inte bra att göra så mot kunder, föratag utan kunder fungerar inte.Jag ska inte handla mer hos dem, och jag vill kontakta konsumentverket angående det här",0
"Inte vet jag hur långt paketet från NetOnNet åkte men det beställdes sent fredag och lördag 1,5timmar innan planerad leverans kl14 plingade det till. Slå in koden till lådan och vipps hoppade dörren upp och jag fick mitt paket! Misstänker även att det är rätt lätt att leverera till något annat skåp om man blir sen och inte hinner hämta innan stängning! Inga köer i uthämtning och inga griniga postombud som mest tycker man är till besvär. Det här skall bli mitt standard leveranssätt hädanefter! Tydligen funkar det även om avsändaren inte har tjänsten. En typ av C/O adress så hämtar de ut paketet och levererar till lådan.... måste provas!! Kan bara rekommendera hittills iallafall!",1
Snabb leverans och bra o brett  sortiment!,1
Supernöjd! Rätt vara och snabb leverans! Rekommenderas!,1
"Oseriöst bolag med falsk marknadsföring. Fick mycket högre pris på flera matcher. När jag påpekade detta fick jag svar att deras andra bolag har uppdaterade priser, skillnaden var flera tusen... Håll dig borta så slipper du bli irriterad.",0
Väldigt nöjd med min beställning och snabb leverans,1
"Snabb och smidig leverans! Det visade sig att jag beställt en storlek för litet täcke men även retur och ny leverans hanterades superbra, väldigt nöjd :)",1
Bra pris snabb leverans 👍,1
Bra service 👏,1
Snabb och pålitlig leverans! Känns tryggt!,1
Snabb leverans och bra i storleken.,1
Mycket trevligt bemötande via telefon och supersnabb leverans.Våran var precis som önskat.,1
Snabb leverans,1
"Köpte en matta på auctionet för 3020 kr samt leverans för 927 kr. Av upplightade bilder framkom det inte hur fläckad, missfärgad och ingrodd av nikotin mattan var. Dessutom luktade den extremt illa. Förvånade att det inte angavs något av detta på hemsidan. / Anna",0
"Helt problemfritt inköp. Mycket snabb leverans och väldigt trevlig kundservice. Väldigt hög kvalitet på både på mitt införskaffade iphone- och macskal. Stark rekommendation. Om du söker produkter till din mobil eller dator, är det hit du ska vända dig.",1
Service i världsklass! Rekommenderas starkt,1
"Beställde 5 januari ingen leverans, inget svar via kundsupport. Undvik detta företag.",0
Allt gick bra med min beställning!,1
Svarar inte på mail eller telefon.,0
Snabb leverans o bra produkt,1
"Jsg har beställt en T-shirt med alfabetet på. Men det var ett tag sedan. Är lite lite missnöjd med att det tar så lång tid,",0
Snabb leverans och superbra feedback hela vägen!,1
Jag har ej fått mina varor än  så mailet jag fick känns inte så bra.,0
Skräp att man kallar det hemleverans för 199:- när det innebär hämtning på närmaste serviceställe,0
snabb och bra service!,1
"Kundservicen är fantastiskt, de svarar snabbt och man får de svar man behöver. Jag har köpt tre klockor och varit lika nöjd varje gång. Snabb leverans och smidig betalning.",1
"Annonserade varor på nätet , som var slutsålda. Det tog tre dagar - avgörande  försening innan Verner meddelade detta",0
